Nama,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A. Pendapatan Negara,94.81,85.6,87.11,95.99,102.58,90.56,96.93,115.35,116.31,113.03,101.43,0.0
I. Penerimaan Dalam Negeri,94.64,85.08,86.7,95.49,101.83,90.32,95.9,115.12,116.09,112.35,101.61,0.0
1. Penerimaan Perpajakan,92.04,83.29,83.48,91.23,93.86,86.55,91.5,107.15,114.05,106.58,100.64,0.0
a. Pendapatan Pajak Dalam Negeri,92.72,83.71,83.12,90.78,93.26,86.35,91.06,104.58,114.0,106.43,100.57,0.0
i. Pendapatan Pajak Penghasilan,95.84,88.66,76.79,81.36,86.52,86.34,88.61,101.89,122.68,113.49,100.49,0.0
ii. Pendapatan Pajak Pertambahan Nilai dan PPnBM,86.04,73.5,86.92,101.1,99.16,81.11,88.73,106.43,107.61,102.78,100.15,0.0
iii. Pendapatan Pajak Bumi dan Bangunan,107.97,109.59,109.78,108.81,111.95,110.45,155.88,127.61,111.29,106.26,112.42,0.0
iv. Pendapatan BPHTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v. Pendapatan Pajak lainnya,121.5,47.47,231.35,180.14,172.74,89.44,90.72,89.51,67.53,111.84,105.61,0.0
vi. Pendapatan Cukai,100.54,99.25,96.92,100.08,102.7,104.16,102.39,108.62,103.13,90.39,100.82,0.0
b. Pendapatan Pajak Perdagangan Internasional,77.55,70.93,98.88,108.99,118.56,94.76,109.66,210.8,115.02,111.69,102.67,0.0
i. Bea Masuk,90.59,83.9,97.3,105.37,109.57,96.44,101.92,117.94,120.64,107.08,100.99,0.0
ii. Bea Keluar,54.98,30.92,119.94,153.61,225.5,79.98,258.75,1933.7,108.53,133.15,107.19,0.0
2. Penerimaan Negara Bukan Pajak,103.01,95.0,106.89,119.59,148.61,108.12,116.89,153.75,123.66,138.77,105.53,0.0
a. Penerimaan SDA,99.89,84.91,71.7,116.19,174.19,81.2,122.93,143.59,118.65,129.71,97.32,0.0
