Nama,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A. Pendapatan Negara,1550490.8,1508020.4,1555934.3,1666375.9,1943674.9,1960641.0,1647783.3,2011347.1,2635843.0,2783929.7,2842478.02,0.0
I. Penerimaan Dalam Negeri,1545456.3,1496047.3,1546946.6,1654746.1,1928110.0,1955141.0,1628950.5,2006334.0,2630147.0,2766745.5,2812187.11,0.0
1. Penerimaan Perpajakan,1146865.8,1240418.9,1284970.1,1343529.8,1518789.8,1546141.0,1285136.3,1547841.1,2034552.4,2154208.2,2232666.0,0.0
a. Pendapatan Pajak Dalam Negeri,1103217.6,1205478.9,1249499.5,1304316.3,1472908.0,1505090.0,1248415.1,1474145.7,1943654.8,2089718.3,2158808.3,0.0
i. Pendapatan Pajak Penghasilan,546180.9,602308.1,657162.7,637859.3,739864.9,772300.0,594033.3,696676.6,998213.8,1061234.0,1062693.27,0.0
ii. Pendapatan Pajak Pertambahan Nilai dan PPnBM,409181.6,423710.8,412213.5,480724.6,537267.9,531600.0,450328.1,551900.5,687609.5,763632.7,828505.9,0.0
iii. Pendapatan Pajak Bumi dan Bangunan,23476.2,29250.0,19443.2,16770.3,19444.9,21100.0,20953.6,18924.8,23264.7,33270.7,32493.69,0.0
iv. Pendapatan BPHTB,0.0,0.3,0.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v. Pendapatan Pajak lainnya,6293.4,5568.3,17154.5,15672.6,16741.6,7700.0,6790.8,11126.0,7686.1,9729.8,8744.11,0.0
vi. Pendapatan Cukai,118085.5,144641.3,143525.0,153288.1,159588.6,172390.0,176309.3,195517.8,226880.8,221851.1,226371.33,0.0
b. Pendapatan Pajak Perdagangan Internasional,43648.1,34940.0,35470.7,39213.6,45881.8,41051.0,36721.2,73695.4,90897.7,64489.9,73857.69,0.0
i. Bea Masuk,32319.1,31212.8,32472.1,35066.2,39116.7,37514.0,32443.5,39122.7,51077.7,50891.8,52965.32,0.0
ii. Bea Keluar,11329.0,3727.1,2998.6,4147.4,6765.1,3537.0,4277.7,34572.7,39819.9,13598.2,20892.37,0.0
2. Penerimaan Negara Bukan Pajak,398590.5,255628.5,261976.4,311216.3,409320.2,409000.0,343814.2,458493.0,595594.6,612537.3,579521.11,0.0
a. Penerimaan SDA,240848.3,100971.9,64901.9,111132.0,180592.6,154900.0,97225.1,149489.4,268770.9,254203.0,229220.83,0.0
i. Penerimaan SDA Migas,216876.1,78170.5,44093.8,81842.9,142789.2,121100.0,69080.2,96616.4,148698.9,116178.6,110916.91,0.0
a) Pendapatan Minyak bumi,139174.3,47987.4,31448.0,58203.0,101486.7,83600.0,44868.8,64998.8,111992.9,87408.9,85879.85,0.0
b) Pendapatan Gas alam,77701.8,30183.0,12645.7,23639.9,41302.6,37500.0,24211.3,31617.6,36705.9,28769.7,25037.06,0.0
ii. Penerimaan SDA NonMigas,23972.2,22801.4,20808.2,29289.1,37803.4,33800.0,28144.9,52873.0,120072.0,138024.5,118303.91,0.0
a) Pendapatan Pertambangan Mineral dan Batubara,19300.4,17683.0,15756.8,23763.2,30313.7,26335.0,21179.0,44835.4,110786.8,129126.8,107775.03,0.0
b) Pendapatan Kehutanan,3699.9,4156.5,3757.0,4101.9,4760.4,5035.0,4403.3,5400.3,5804.1,5429.6,6739.01,0.0
c) Pendapatan Perikanan,216.4,79.3,362.1,491.0,448.8,500.0,600.7,708.2,1192.9,636.9,951.82,0.0
d) Pendapatan Pertambangan Panas Bumi,755.5,882.7,932.3,933.0,2280.6,1930.0,1962.0,1929.1,2288.2,2831.2,2838.06,0.0
b. Pendapatan dari Kekayaan Negara Dipisahkan,40314.4,37643.7,37133.2,43904.2,45060.5,80700.0,66080.5,30496.8,40597.1,82058.7,86386.88,0.0
c. Pendapatan PNBP Lainnya,87746.8,81697.4,117995.4,108834.6,128574.0,124500.0,111200.3,152504.0,196324.3,180415.1,163609.9,0.0
d. Pendapatan Badan Layanan Umum,29681.0,35315.5,41945.9,47345.4,55093.1,48900.0,69308.3,126002.8,89902.3,95860.4,100303.51,0.0
e. Surplus Bank Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,456355.0,0.0,0.0,0.0,0.0,0.0
II. Penerimaan Hibah,5034.5,11973.0,8987.7,11629.8,15564.9,5500.0,18832.8,5013.0,5696.1,17184.2,30290.92,0.0
B. Belanja Negara,1203577.2,1183303.7,1154018.2,1265359.4,1455324.8,1496313.9,1832950.9,2000703.8,2280027.9,3121217.2,3350273.78,0.0
I. Belanja Pemerintah Pusat,1203577.2,1183303.7,1154018.2,1265359.4,1455324.8,1496313.9,1832950.9,2000703.8,2280027.9,2239786.7,2486733.4,0.0
1. Belanja Pegawai,243719.9,281142.7,305141.5,312728.8,346890.8,376074.3,380532.2,387752.5,402441.7,412711.3,464528.9,0.0
2. Belanja Barang,176622.3,233281.1,259646.9,291459.1,347468.3,334418.2,422338.2,530059.3,426149.1,432715.0,517629.0,0.0
3. Belanja Modal,147347.9,215434.2,169474.2,208656.7,184127.6,177841.5,190919.8,239632.3,240570.3,303041.3,352551.1,0.0
4. Subsidi,391962.5,185971.1,174226.8,166401.1,216883.3,201802.6,196231.5,242086.8,252812.9,269592.1,292472.78,0.0
i. Subsidi Energi,341810.4,119091.1,106785.0,97642.1,153522.4,136875.8,108840.5,140395.2,171858.8,164292.3,177615.24,0.0
ii. Subsidi Non Energi,50152.1,66880.0,67441.9,68759.0,63360.9,64926.8,87390.9,101691.6,80954.1,105299.8,114857.54,0.0
5. Belanja Hibah,907.5,4261.7,7129.9,5445.7,1520.6,6476.2,6275.9,4319.0,5803.3,219.1,319.3,0.0
