Nama,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A. Pendapatan Negara,1635378.5,1761642.8,1786225.0,1736060.2,1894720.3,2165111.8,1699948.5,1743648.5,2266199.0,2463024.9,2802462.15,3005127.71
I. Penerimaan Dalam Negeri,1633053.4,1758330.9,1784249.9,1732952.1,1893523.5,2164676.5,1698648.5,1742745.8,2265619.2,2462615.5,2767538.55,3004546.61
1. Penerimaan Perpajakan,1246107.0,1489255.5,1539166.2,1472709.9,1618095.5,1786378.7,1404507.5,1444541.6,1783988.0,2021223.7,2218401.1,2490911.57
a. Pendapatan Pajak Dalam Negeri,1189826.6,1439998.6,1503294.7,1436730.9,1579395.5,1743056.9,1371020.6,1409580.9,1704958.0,1963482.5,2146466.84,2433505.58
i. Pendapatan Pajak Penghasilan,569866.7,679370.1,855842.7,783970.3,855133.5,894448.7,670379.5,683774.6,813678.6,935068.6,1057524.87,1209278.86
ii. Pendapatan Pajak Pertambahan Nilai dan PPnBM,475587.2,576469.2,474235.3,475483.5,541801.1,655394.9,507516.2,518545.2,638994.2,742953.6,827233.38,945120.62
iii. Pendapatan Pajak Bumi dan Bangunan,21742.9,26689.9,17710.6,15412.1,17369.1,19103.6,13441.9,14830.6,20903.8,31311.0,28905.06,27111.78
iv. Pendapatan BPHTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v. Pendapatan Pajak lainnya,5179.6,11729.5,7414.9,8700.0,9691.8,8608.7,7485.7,12430.5,11381.4,8699.5,8279.79,7795.88
vi. Pendapatan Cukai,117450.2,145739.9,148091.2,153165.0,155400.0,165501.0,172197.2,180000.0,220000.0,245449.8,224523.74,244198.42
b. Pendapatan Pajak Perdagangan Internasional,56280.4,49256.9,35871.5,35979.0,38700.0,43321.8,33486.9,34960.6,79030.0,57741.1,71934.26,57405.98
i. Bea Masuk,35676.0,37203.9,33371.5,33279.0,35700.0,38899.3,31833.8,33172.7,42340.0,47528.5,52443.73,52935.41
ii. Bea Keluar,20604.4,12053.0,2500.0,2700.0,3000.0,4422.5,1653.2,1787.9,36690.0,10212.7,19490.53,4470.57
2. Penerimaan Negara Bukan Pajak,386946.4,269075.4,245083.6,260242.2,275428.0,378297.8,294141.0,298204.2,481631.2,441391.8,549137.45,513635.04
a. Penerimaan SDA,241114.6,118919.1,90524.3,95643.1,103674.9,190754.8,79086.9,104108.8,226518.5,195975.4,235522.5,217964.17
i. Penerimaan SDA Migas,211668.2,81364.9,68688.1,72208.0,80349.0,159778.3,53294.9,74999.7,139098.4,131169.4,121488.81,120993.01
a) Pendapatan Minyak bumi,154750.4,61584.0,51328.1,57406.8,59582.7,118606.7,40385.9,57934.2,106487.9,96137.0,89248.05,89031.59
b) Pendapatan Gas alam,56917.8,19780.9,17360.0,14801.1,20766.3,41171.6,12909.0,17065.5,32610.5,35032.4,32240.76,31961.42
ii. Penerimaan SDA NonMigas,29446.4,37554.2,21836.3,23435.3,23325.8,30976.5,25792.0,29109.1,87420.1,64806.0,114033.69,96971.16
a) Pendapatan Pertambangan Mineral dan Batubara,23599.7,31678.5,16539.9,17858.5,17858.5,24960.7,19351.5,22100.5,78871.3,54030.1,102056.7,87482.12
b) Pendapatan Kehutanan,5017.0,4713.3,3972.7,3955.5,4166.7,4511.5,4197.2,4613.3,5241.2,5161.7,6000.0,5671.73
c) Pendapatan Perikanan,250.0,578.8,693.0,950.0,600.0,625.8,900.4,957.2,1686.6,3500.0,3500.0,1627.6
d) Pendapatan Pertambangan Panas Bumi,579.7,583.7,630.7,671.3,700.6,878.4,1342.9,1438.1,1621.1,2114.2,2476.98,2189.7
b. Pendapatan dari Kekayaan Negara Dipisahkan,40000.0,36956.5,34164.0,41000.0,44695.4,45589.3,65000.0,26130.5,37089.8,49100.0,85845.47,90000.0
c. Pendapatan PNBP Lainnya,84968.4,90109.6,84124.0,85057.6,83753.1,94069.3,100053.8,109174.7,112221.7,113300.0,147338.52,127741.39
